Object1,Object2,Dissimdist,Relationship,Traffic
abbott,verizon,0.7317359339,peer,
chevron,jpmchase,0.7318035201,peer,
conocophillips,exelon,0.7318665691,valuechain,
pfizer,aig,0.7318893232,valuechain,
boeing,elilily,0.7319267566,peer,
paypal,ge,0.7319337226,valuechain,
dellemc,elilily,0.7320108101,peer,
3m,starbucks,0.732020134,peer,
lendingclub,ge,0.7320283502,peer,
waltdisney,p.hulu,0.7320888093,valuechain,
biogen,emersonelectric,0.7320905908,peer,
png,qualcomm,0.7321632681,peer,
allstate,johnsonandjohnson,0.7321719123,peer,
accenture,dellemc,0.7322413234,valuechain,
amazon,microsoft,0.7322723615,competitor,
cocacola,generaldynamics,0.7322754019,peer,
cocacola,mcdonalds,0.7322806402,valuechain,
colgate-palmolive,target,0.732332659,valuechain,
conocophillips,elilily,0.7323351319,valuechain,
biogen,mondelez,0.7324135367,peer,
aig,mondelez,0.7324183214,peer,
ups,exxonmobil,0.7326601338,valuechain,
gilead,honeywell,0.732724118,valuechain,
abbott,priceline,0.7327601423,peer,
ge,oracle,0.7328417895,valuechain,
p.uber,ge,0.732888718,peer,
dowchemical,emersonelectric,0.732935785,peer,
mondelez,ups,0.7329633874,valuechain,
allergan,citigroup,0.7330562428,peer,
southernco,emersonelectric,0.733080778,valuechain,
priceline,altria,0.7331240392,peer,
caterpillar,microsoft,0.7331488157,valuechain,
priceline,schlumberger,0.7332036881,peer,
halliburton,metlife,0.7332598205,peer,
raytheon,occidentalpetrol,0.73330243,peer,
usbancorp,ge,0.7333041771,peer,
apple,target,0.7334690984,valuechain,
qualcomm,ups,0.7335279554,valuechain,
halliburton,mondelez,0.7335806241,peer,
costco,target,0.7336216559,competitor,
abbott,walgreens,0.7336396791,valuechain,
raytheon,c.bailout,0.7336450238,constituent,
goldmansachs,mastercard,0.7336568386,peer,
aig,bofa,0.7337676271,peer,
pepsico,generaldynamics,0.7337704101,peer,
citigroup,comcast,0.7337816801,peer,
schlumberger,ups,0.7337842264,valuechain,
qualcomm,mobileye,0.7339110524,competitor,
tesla,boeing,0.7339196724,peer,
colgate-palmolive,medtronic,0.7340549153,valuechain,
fordmotor,c.selfdriving,0.7341145577,constituent,
johnsonandjohnson,generaldynamics,0.7341538354,peer,
gilead,microsoft,0.7341552584,peer,
abbvie,texasinstrument,0.734166279,peer,
accenture,southernco,0.7341725937,peer,
schlumberger,microsoft,0.7341958987,peer,
raytheon,schlumberger,0.7342503367,peer,
3m,costco,0.7343591026,valuechain,
allergan,conocophillips,0.7344406908,peer,
johnsonandjohnson,emersonelectric,0.7345077393,peer,
timewarner,bristolmyerssquibb,0.7345843534,peer,
honeywell,boeing,0.7346531924,valuechain,
chevron,ibm,0.7347326673,valuechain,
gm,accenture,0.7347506002,valuechain,
ibm,verizon,0.7347715661,valuechain,
boeing,dowchemical,0.7348285178,peer,
jpmchase,dowchemical,0.7348878828,peer,
raytheon,danaher,0.7348919393,valuechain,
gm,homedepot,0.7349495005,peer,
accenture,texasinstrument,0.7349534005,valuechain,
paypal,capitalone,0.7349822331,valuechain,
gilead,raytheon,0.7350377461,peer,
halliburton,pfizer,0.735052882,peer,
altria,cocacola,0.7350695691,peer,
gm,lockheedmartin,0.7350846378,peer,
raytheon,cocacola,0.7353112843,peer,
honeywell,dellemc,0.7354224577,valuechain,
pepsico,walmart,0.7354762093,valuechain,
abbvie,dellemc,0.7354853544,peer,
bankofnewyork,verizon,0.7355589254,peer,
schlumberger,verizon,0.7356385451,peer,
amazon,walmart,0.7356624837,competitor,
goldmansachs,bristolmyerssquibb,0.7357057994,peer,
metlife,emersonelectric,0.7357295826,peer,
jpmchase,schlumberger,0.735796403,peer,
priceline,mondelez,0.7359063173,peer,
emersonelectric,exxonmobil,0.7359553339,valuechain,
png,att,0.7360398419,peer,
pepsico,ups,0.7360555006,valuechain,
lowes,ups,0.7360948821,valuechain,
pepsico,altria,0.7361438845,peer,
ibm,merckandco,0.7361754436,peer,
amazon,elilily,0.7361865776,peer,
mobileye,ge,0.7362409407,peer,
kindermorgan,exxonmobil,0.7362976771,valuechain,
colgate-palmolive,mcdonalds,0.7363694483,peer,
3m,bankofnewyork,0.7364830559,peer,
abbott,amazon,0.73657496,valuechain,
amgen,exxonmobil,0.736584027,peer,
allstate,biogen,0.7366212548,peer,
colgate-palmolive,verizon,0.7366648475,peer,
altria,metlife,0.7367107432,peer,
3m,amex,0.7367437181,peer,
danaher,generaldynamics,0.7368673812,valuechain,
berkshirehathaway,timewarner,0.7369409478,peer,
nexteraenergy,ge,0.7369531908,valuechain,
microsoft,oracle,0.7369738087,valuechain,
altria,johnsonandjohnson,0.7370492001,peer,
abbvie,danaher,0.7370674299,valuechain,
pepsico,target,0.7371360542,valuechain,
c.videoondemand,qualcomm,0.7371808523,constituent,
abbvie,aig,0.7372132161,valuechain,
abbvie,c.orphandrug,0.7372998915,constituent,
ibm,jpmchase,0.7373190208,valuechain,
3m,oracle,0.7373431651,peer,
danaher,mondelez,0.7373575715,valuechain,
cocacola,jpmchase,0.7373698404,peer,
cocacola,merckandco,0.7373970396,peer,
berkshirehathaway,unitedtech,0.7373996116,peer,
citigroup,boeing,0.7374203465,peer,
ibm,intel,0.737452469,valuechain,
cvs,dupont,0.7374838045,valuechain,
gilead,allstate,0.7375650917,peer,
accenture,allstate,0.737683506,peer,
raytheon,medtronic,0.7377122875,peer,
priceline,p.hulu,0.7377180756,peer,
abbott,timewarner,0.7377520618,peer,
cocacola,apple,0.7377642413,peer,
cocacola,ups,0.7377898214,valuechain,
c.virtualreality,c.saas,0.7378101134,sister,
lendingclub,c.bailout,0.7378637556,constituent,
starbucks,mcdonalds,0.7378788807,competitor,
emersonelectric,occidentalpetrol,0.7379749097,valuechain,
honeywell,cocacola,0.7379835735,valuechain,
costco,ups,0.7380596737,valuechain,
amazon,dupont,0.7380812659,valuechain,
citigroup,amazon,0.7381677461,valuechain,
chevron,kindermorgan,0.738231981,valuechain,
citigroup,lockheedmartin,0.7382986487,peer,
pepsico,amgen,0.7383253612,peer,
ibm,c.internetofthings,0.7383420704,constituent,
honeywell,medtronic,0.7383733686,competitor,
allstate,microsoft,0.7384538653,peer,
paypal,amex,0.7385077195,competitor,
exelon,occidentalpetrol,0.7385115182,valuechain,
pfizer,conocophillips,0.7385859592,valuechain,
allstate,dellemc,0.7386438791,valuechain,
raytheon,southernco,0.7386856409,valuechain,
ge,wellsfargo,0.738748704,peer,
3m,netflix,0.7387896751,peer,
ups,c.electricvehicle,0.7388808329,constituent,
homedepot,metlife,0.7388918222,peer,
priceline,colgate-palmolive,0.7389934633,peer,
merckandco,metlife,0.7390113376,valuechain,
abbvie,chevron,0.7390166661,valuechain,
ibm,amazon,0.7390276585,competitor,
c.virtualreality,facebook,0.7391169869,constituent,
goldmansachs,unitedhealth,0.7392240297,peer,
twentycenturyfox,bristolmyerssquibb,0.7392884442,peer,
citigroup,timewarner,0.7393452985,peer,
comcast,bristolmyerssquibb,0.7393681909,peer,
abbott,boeing,0.7393842597,peer,
metlife,generaldynamics,0.7394155653,peer,
mondelez,verizon,0.739476938,peer,
amex,usbancorp,0.7396487128,valuechain,
gilead,emersonelectric,0.7396709347,valuechain,
dellemc,metlife,0.7397529257,valuechain,
caterpillar,allstate,0.7397694701,peer,
goldmansachs,exxonmobil,0.7397795305,valuechain,
allergan,danaher,0.7398227695,valuechain,
medtronic,dupont,0.7398248359,peer,
goldmansachs,visa,0.739941723,peer,
gm,p.hulu,0.739977167,peer,
allstate,unitedhealth,0.7400364281,peer,
jpmchase,lendingclub,0.7402299129,competitor,
pepsico,timewarner,0.7402546568,valuechain,
aig,colgate-palmolive,0.7403905783,peer,
amazon,mondelez,0.7405493655,valuechain,
mobileye,unitedtech,0.7405548177,peer,
caterpillar,amazon,0.7405748314,peer,
pepsico,boeing,0.7405793074,peer,
qualcomm,raytheon,0.7406179847,peer,
ups,fordmotor,0.740692581,peer,
abbvie,conocophillips,0.7407583267,peer,
altria,biogen,0.7407640121,peer,
ups,generaldynamics,0.7407699392,valuechain,
pfizer,honeywell,0.7407825512,valuechain,
texasinstrument,nike,0.7407865379,peer,
gm,comcast,0.7407920722,valuechain,
qualcomm,verizon,0.7408253134,valuechain,
halliburton,caterpillar,0.7408520428,peer,
colgate-palmolive,nike,0.7408521555,peer,
pfizer,southernco,0.7409359874,valuechain,
berkshirehathaway,biogen,0.7411201066,peer,
colgate-palmolive,c.bailout,0.7411319582,constituent,
c.bailout,exxonmobil,0.7411877576,constituent,
citigroup,target,0.7411918928,valuechain,
citigroup,unionpacific,0.741230977,peer,
ibm,occidentalpetrol,0.7412362849,valuechain,
mondelez,emersonelectric,0.7412519745,valuechain,
cocacola,verizon,0.7414756587,peer,
halliburton,lockheedmartin,0.7416537145,peer,
allergan,ibm,0.7416670328,valuechain,
pepsico,dellemc,0.7417095018,valuechain,
honeywell,cisco,0.7418822773,valuechain,
aig,amex,0.7418989968,peer,
altria,cvs,0.7419138883,valuechain,
johnsonandjohnson,ups,0.7419839856,peer,
conocophillips,metlife,0.7420295697,peer,
c.virtualreality,png,0.7420458743,constituent,
amazon,netflix,0.7420981075,competitor,
apple,dupont,0.7421009129,valuechain,
paypal,bofa,0.7421015065,valuechain,
allergan,dowchemical,0.7421156001,valuechain,
dupont,c.bailout,0.7421385767,constituent,
bristolmyerssquibb,c.bailout,0.7421393851,constituent,
metlife,morganstanley,0.7421672673,peer,
cisco,microsoft,0.7422024024,valuechain,
altria,southernco,0.7423024706,valuechain,
3m,p.hulu,0.7423037814,peer,
exxonmobil,c.shalegas,0.7423383915,constituent,
gilead,dellemc,0.7423449044,valuechain,
johnsonandjohnson,danaher,0.7424556275,valuechain,
raytheon,unitedhealth,0.7425002623,peer,
pepsico,merckandco,0.7425006999,peer,
gm,starbucks,0.7425148496,peer,
capitalone,bristolmyerssquibb,0.7425505548,peer,
unitedhealth,morganstanley,0.7425546279,valuechain,
biogen,metlife,0.742619348,valuechain,
abbott,comcast,0.7426900273,valuechain,
colgate-palmolive,walmart,0.7427907484,valuechain,
southernco,ups,0.7429161919,peer,
abbott,capitalone,0.7430780079,peer,
gilead,amazon,0.7430838301,peer,
abbott,lockheedmartin,0.7431111023,peer,
johnsonandjohnson,cvs,0.7431167347,valuechain,
capitalone,berkshirehathaway,0.7431249392,peer,
halliburton,berkshirehathaway,0.7431774036,peer,
apple,tesla,0.7432375679,peer,
ibm,target,0.7432424803,valuechain,
berkshirehathaway,walgreens,0.7432757348,peer,
intel,qualcomm,0.7432981497,competitor,
cocacola,walgreens,0.7433540394,valuechain,
dupont,verizon,0.7433788488,peer,
jpmchase,verizon,0.7434585948,valuechain,
citigroup,merckandco,0.7435082418,peer,
c.bailout,mondelez,0.7435142587,constituent,
conocophillips,texasinstrument,0.7435203666,peer,
biogen,c.orphandrug,0.7436853262,constituent,
target,microsoft,0.7437433242,valuechain,
halliburton,unitedhealth,0.7438052581,peer,
goldmansachs,mondelez,0.7438993832,peer,
jpmchase,conocophillips,0.7439023288,peer,
verizon,p.hulu,0.7439667022,valuechain,
johnsonandjohnson,apple,0.7439825812,peer,
caterpillar,apple,0.7440644278,peer,
cocacola,target,0.7440855586,valuechain,
cvs,timewarner,0.7442280242,peer,
halliburton,cocacola,0.7443755866,peer,
c.virtualreality,microsoft,0.744439555,constituent,
dellemc,exxonmobil,0.7444642871,valuechain,
gilead,jpmchase,0.7445724919,peer,
ups,c.internetofthings,0.7445750974,constituent,
priceline,bristolmyerssquibb,0.744605993,peer,
pepsico,halliburton,0.7446180637,peer,
schlumberger,generaldynamics,0.7448328011,peer,
apple,walmart,0.7448867183,valuechain,
johnsonandjohnson,walgreens,0.7450019391,valuechain,
berkshirehathaway,verizon,0.7450190216,holding,
bankofnewyork,unitedhealth,0.7451155765,peer,
allstate,chevron,0.7451500351,peer,
abbvie,microsoft,0.7451637426,valuechain,
merckandco,unitedhealth,0.7451690949,valuechain,
unitedhealth,c.bailout,0.7452206085,constituent,
allstate,dowchemical,0.7452248308,peer,
citigroup,tesla,0.7453031557,peer,
raytheon,jpmchase,0.7454223495,peer,
amazon,berkshirehathaway,0.7454277502,peer,
abbott,c.bailout,0.7454467797,constituent,
homedepot,priceline,0.7454566934,peer,
c.videoondemand,ups,0.7455404582,constituent,
danaher,metlife,0.7455943538,valuechain,
kindermorgan,ge,0.7456020434,valuechain,
johnsonandjohnson,unitedhealth,0.7457433628,valuechain,
target,mcdonalds,0.7457713402,peer,
allergan,altria,0.7458503524,peer,
capitalone,texasinstrument,0.7458669791,peer,
aig,cvs,0.7458989684,peer,
halliburton,generaldynamics,0.7461269201,peer,
halliburton,microsoft,0.7461909601,peer,
ibm,medtronic,0.7462850257,valuechain,
cocacola,boeing,0.746306383,peer,
johnsonandjohnson,boeing,0.7463302041,peer,
amazon,metlife,0.746346206,peer,
raytheon,biogen,0.7463488901,peer,
abbott,target,0.7463523946,valuechain,
allstate,raytheon,0.7464212326,peer,
cocacola,amgen,0.7464553064,peer,
occidentalpetrol,generaldynamics,0.7464922723,peer,
ge,c.shalegas,0.7465416985,constituent,
apple,bristolmyerssquibb,0.74654874,peer,
timewarner,netflix,0.7466364391,competitor,
chevron,verizon,0.7466370788,peer,
priceline,jpmchase,0.74669126,valuechain,
pfizer,generaldynamics,0.746701907,peer,
goldmansachs,blackrock,0.7467098281,valuechain,
mcdonalds,texasinstrument,0.7467300944,peer,
dowchemical,microsoft,0.7467826902,peer,
unitedhealth,exxonmobil,0.7467926624,peer,
pfizer,emersonelectric,0.7468025277,peer,
amazon,target,0.7468522795,competitor,
conocophillips,cvs,0.7468759581,peer,
dowchemical,ups,0.7469317668,peer,
unitedhealth,dupont,0.7469565676,peer,
gilead,boeing,0.7469582611,peer,
halliburton,verizon,0.747003279,peer,
pfizer,boeing,0.7470497546,peer,
allergan,microsoft,0.7471056358,peer,
ups,c.saas,0.747134746,constituent,
goldmansachs,pfizer,0.7471818759,peer,
cocacola,walmart,0.7472061413,valuechain,
homedepot,ups,0.7472349012,valuechain,
accenture,schlumberger,0.7472427887,peer,
mobileye,c.electricvehicle,0.7472902993,constituent,
gilead,capitalone,0.7473056982,peer,
pepsico,biogen,0.7473221579,peer,
abbott,apple,0.7473532489,peer,
capitalone,colgate-palmolive,0.7474045585,peer,
johnsonandjohnson,amazon,0.7474848526,valuechain,
citigroup,apple,0.7474897595,peer,
lockheedmartin,dupont,0.74750714,valuechain,
allergan,honeywell,0.747734228,valuechain,
berkshirehathaway,walmart,0.7477728498,holding,
allergan,texasinstrument,0.7478257102,valuechain,
pfizer,verizon,0.7478583303,peer,
accenture,bristolmyerssquibb,0.7479109216,peer,
gilead,conocophillips,0.7479374599,peer,
pfizer,allstate,0.7479438603,peer,
chevron,microsoft,0.7479522597,peer,
pfizer,dellemc,0.7479614688,peer,
texasinstrument,unitedhealth,0.7479734989,peer,
allstate,c.bailout,0.7480268374,constituent,
merckandco,c.orphandrug,0.7480346557,constituent,
aig,dupont,0.7480571096,peer,
capitalone,unitedhealth,0.7480896532,peer,
caterpillar,mcdonalds,0.748119321,peer,
3m,alphabet,0.7481331891,peer,
simonprop,berkshirehathaway,0.7481926151,peer,
abbvie,honeywell,0.7483003824,peer,
ups,emersonelectric,0.7483043442,valuechain,
mcdonalds,dupont,0.7483486016,peer,
microsoft,walmart,0.7485131933,valuechain,
allergan,medtronic,0.7485704062,valuechain,
aig,altria,0.7485816641,peer,
boeing,mondelez,0.7486250803,peer,
schlumberger,dellemc,0.7486264033,peer,
capitalone,morganstanley,0.7486348632,peer,
caterpillar,c.bailout,0.7487263325,constituent,
gm,unionpacific,0.7487647015,peer,
microsoft,c.saas,0.7487814269,constituent,
halliburton,johnsonandjohnson,0.7488052689,peer,
citigroup,costco,0.7488755253,valuechain,
capitalone,lendingclub,0.7488771088,competitor,
png,amex,0.7489113108,peer,
homedepot,walgreens,0.749032302,peer,
texasinstrument,nvidia,0.7490346806,competitor,
apple,elilily,0.7490453686,peer,
bristolmyerssquibb,morganstanley,0.7490753728,peer,
johnsonandjohnson,c.orphandrug,0.7491083254,constituent,
aig,ibm,0.7492189512,peer,
amazon,apple,0.749284561,competitor,
amazon,dowchemical,0.7493831434,peer,
pepsico,nike,0.7494096728,peer,
priceline,exxonmobil,0.7494166943,peer,
danaher,exxonmobil,0.7494322321,peer,
png,netflix,0.7494502433,peer,
apple,nike,0.7494758649,peer,
ibm,qualcomm,0.7495130719,valuechain,
ibm,lockheedmartin,0.7495192137,valuechain,
jpmchase,elilily,0.7495313661,peer,
pepsico,starbucks,0.7495666498,peer,
citigroup,generaldynamics,0.7495795504,peer,
jpmchase,c.mbs,0.7496628297,constituent,
priceline,bankofnewyork,0.7496925085,peer,
jpmchase,kindermorgan,0.7497004491,peer,
capitalone,aig,0.7497532911,peer,
danaher,c.internetofthings,0.7497737408,constituent,
fedex,ge,0.7497901053,peer,
schlumberger,bankofnewyork,0.7498064124,peer,
raytheon,dellemc,0.7498203746,peer,
accenture,elilily,0.7499724509,peer,
unitedhealth,elilily,0.7499786081,peer,
ups,visa,0.7501045233,,
allstate,occidentalpetrol,0.7501087189,,
boeing,microsoft,0.7501208401,,
colgate-palmolive,timewarner,0.7501229043,,
bristolmyerssquibb,ups,0.750136977,,
johnsonandjohnson,target,0.7501643007,,
ibm,unitedhealth,0.7502072753,,
citigroup,southernco,0.7502161681,,
texasinstrument,timewarner,0.7502453346,,
chevron,dukeenergy,0.7502939755,,
qualcomm,medtronic,0.7503241842,,
dupont,ups,0.7504285337,,
unitedhealth,verizon,0.7504797222,,
target,exxonmobil,0.7504967549,,
medtronic,microsoft,0.7504990562,,
pfizer,ups,0.7505254823,,
berkshirehathaway,medtronic,0.7505928823,,
cocacola,c.bailout,0.7506550138,,
cocacola,biogen,0.7506823603,,
ibm,conocophillips,0.7508313434,,
aig,elilily,0.7508410059,,
ibm,danaher,0.750857954,,
comcast,berkshirehathaway,0.7509336622,,
intel,apple,0.7509845267,,
texasinstrument,merckandco,0.7510007194,,
c.selfdriving,ge,0.7510109224,,
aig,occidentalpetrol,0.7510705487,,
aig,dowchemical,0.7511172307,,
exxonmobil,walmart,0.7511741688,,
mcdonalds,exxonmobil,0.7511764869,,
3m,mastercard,0.7511772566,,
altria,emersonelectric,0.7511992819,,
mondelez,walmart,0.7512133376,,
halliburton,honeywell,0.7512368809,,
dellemc,mondelez,0.7512478987,,
citigroup,p.hulu,0.7513971996,,
aig,johnsonandjohnson,0.7513976239,,
caterpillar,schlumberger,0.751467487,,
paypal,c.bailout,0.7514910091,,
aig,allergan,0.7515132516,,
amazon,p.hulu,0.7515710669,,
honeywell,conocophillips,0.7515851439,,
comcast,metlife,0.7516529044,,
lowes,texasinstrument,0.7516647651,,
pfizer,bankofnewyork,0.7516773393,,
pepsico,aig,0.7517151972,,
allstate,cvs,0.7517792932,,
3m,att,0.7518404452,,
berkshirehathaway,merckandco,0.7518629019,,
c.virtualreality,apple,0.7518655865,,
gilead,cvs,0.7518768415,,
aig,cocacola,0.7518844391,,
target,mondelez,0.7518877513,,
capitalone,cocacola,0.7519929798,,
schlumberger,boeing,0.7520542624,,
abbott,ups,0.7520691459,,
amex,ups,0.7520873251,,
lockheedmartin,c.bailout,0.7521591433,,
altria,jpmchase,0.7521850861,,
c.internetofthings,c.machinelearning,0.7522283641,,
accenture,colgate-palmolive,0.752281976,,
gilead,generaldynamics,0.7523431965,,
texasinstrument,c.bailout,0.7523489833,,
southernco,c.electricvehicle,0.7524459998,,
chevron,tesla,0.7525974715,,
elilily,verizon,0.7527249183,,
mondelez,walgreens,0.75276323,,
cocacola,nike,0.7527989622,,
pepsico,medtronic,0.7528051779,,
colgate-palmolive,ups,0.7528455696,,
goldmansachs,wellsfargo,0.7528645467,,
halliburton,boeing,0.7528699771,,
berkshirehathaway,dellemc,0.752885619,,
medtronic,mondelez,0.7529003013,,
dowchemical,generaldynamics,0.7529142396,,
cisco,dellemc,0.7529183108,,
cocacola,dellemc,0.7529336899,,
elilily,c.orphandrug,0.752966038,,
citigroup,danaher,0.7529755193,,
accenture,raytheon,0.7530161141,,
c.videoondemand,facebook,0.7530241852,,
bristolmyerssquibb,c.orphandrug,0.7530596276,,
lowes,mcdonalds,0.7531550692,,
qualcomm,apple,0.7531693664,,
c.electricvehicle,c.internetofthings,0.7531707279,,
texasinstrument,walmart,0.7531744433,,
gilead,unitedhealth,0.7532364499,,
apple,c.internetofthings,0.7532787303,,
johnsonandjohnson,jpmchase,0.753294398,,
mcdonalds,dowchemical,0.7533633956,,
homedepot,starbucks,0.7533701565,,
cisco,ups,0.7533755181,,
abbvie,jpmchase,0.7534404482,,
chevron,generaldynamics,0.7534598891,,
microsoft,facebook,0.7536078279,,
honeywell,qualcomm,0.7536081195,,
abbott,twentycenturyfox,0.7537920835,,
comcast,p.hulu,0.7538004675,,
accenture,mondelez,0.7538246787,,
honeywell,allstate,0.7538646935,,
biogen,medtronic,0.7538938161,,
caterpillar,unitedtech,0.7539801448,,
chevron,mcdonalds,0.7541177163,,
caterpillar,qualcomm,0.7541484892,,
intel,nvidia,0.7541498939,,
citigroup,medtronic,0.754225216,,
allergan,occidentalpetrol,0.7542570631,,
johnsonandjohnson,dellemc,0.754283468,,
jpmchase,microsoft,0.7543749069,,
honeywell,altria,0.7543843722,,
gm,waltdisney,0.7545148412,,
colgate-palmolive,tesla,0.7545206081,,
homedepot,citigroup,0.7545703388,,
ibm,comcast,0.7546745518,,
gm,cvs,0.7547552741,,
png,costco,0.75475865,,
c.saas,ge,0.7549152341,,
caterpillar,jpmchase,0.7549459968,,
pfizer,amazon,0.7549778631,,
costco,walgreens,0.7549820732,,
colgate-palmolive,waltdisney,0.754998964,,
metlife,walmart,0.7551047282,,
colgate-palmolive,danaher,0.7552298805,,
lockheedmartin,microsoft,0.7552368694,,
dellemc,dowchemical,0.7552464229,,
ibm,walmart,0.7553037819,,
abbott,alphabet,0.7553087367,,
amazon,mcdonalds,0.7553477797,,
caterpillar,dellemc,0.7553739648,,
gilead,ups,0.7554055439,,
accenture,metlife,0.7554452758,,
cocacola,cvs,0.7554477045,,
priceline,timewarner,0.7554487621,,
bristolmyerssquibb,walgreens,0.7554491513,,
apple,mondelez,0.7554604793,,
c.virtualreality,tesla,0.7554621506,,
c.virtualreality,caterpillar,0.7554958246,,
allstate,amazon,0.7555150571,,
danaher,elilily,0.7555321881,,
cocacola,waltdisney,0.7555616,,
amazon,exxonmobil,0.7555892642,,
abbvie,occidentalpetrol,0.7556199229,,
caterpillar,biogen,0.7556639229,,
chevron,priceline,0.7556707968,,
ibm,mcdonalds,0.7556787484,,
boeing,metlife,0.7556836149,,
comcast,ups,0.7556921532,,
cocacola,starbucks,0.7557135295,,
citigroup,walgreens,0.7558575519,,
priceline,texasinstrument,0.7558732169,,
aig,generaldynamics,0.7558954652,,
chevron,boeing,0.7560212309,,
allstate,generaldynamics,0.7560267056,,
colgate-palmolive,fordmotor,0.7560951139,,
citigroup,biogen,0.7561040466,,
target,berkshirehathaway,0.7561131145,,
chevron,merckandco,0.7561215441,,
elilily,ups,0.756139606,,
gm,morganstanley,0.7561767218,,
berkshirehathaway,boeing,0.7561799122,,
aig,schlumberger,0.7561947279,,
schlumberger,emersonelectric,0.7562320039,,
target,dupont,0.7562542757,,
caterpillar,lockheedmartin,0.7562946707,,
homedepot,colgate-palmolive,0.7563585153,,
priceline,verizon,0.7563758519,,
bristolmyerssquibb,walmart,0.7564066689,,
unitedhealth,occidentalpetrol,0.756409846,,
pfizer,timewarner,0.7564785258,,
caterpillar,conocophillips,0.7565397297,,
gilead,medtronic,0.7565422145,,
gilead,apple,0.7565699223,,
dupont,nike,0.7565776258,,
pepsico,jpmchase,0.7566035979,,
citigroup,twentycenturyfox,0.756653942,,
danaher,medtronic,0.7567405871,,
gilead,altria,0.7567447943,,
raytheon,verizon,0.7567572254,,
accenture,microsoft,0.7568782128,,
chevron,emersonelectric,0.7568796803,,
paypal,ups,0.7568930583,,
timewarner,mondelez,0.7569257284,,
tesla,dupont,0.756951005,,
boeing,unitedtech,0.7569753716,,
starbucks,mondelez,0.7569847645,,
apple,starbucks,0.7569877278,,
altria,dowchemical,0.757064846,,
pfizer,lockheedmartin,0.7570733531,,
comcast,exxonmobil,0.7570785934,,
goldmansachs,ups,0.7571241856,,
microsoft,occidentalpetrol,0.7571772083,,
tesla,bristolmyerssquibb,0.7572674105,,
aig,biogen,0.7572931402,,
southernco,boeing,0.7573189381,,
mastercard,ups,0.7573282032,,
caterpillar,c.internetofthings,0.7573418434,,
raytheon,amazon,0.7573468344,,
priceline,dupont,0.757491199,,
chevron,amazon,0.7575647242,,
c.virtualreality,mobileye,0.7576369564,,
pepsico,cvs,0.7576410733,,
tesla,dowchemical,0.7577334733,,
amazon,occidentalpetrol,0.7577595731,,
abbott,nike,0.7578781765,,
cvs,walgreens,0.7579491575,,
johnsonandjohnson,verizon,0.7579690104,,
lockheedmartin,c.internetofthings,0.7579743502,,
schlumberger,unitedhealth,0.757981376,,
abbott,walmart,0.7580050438,,
citigroup,amgen,0.7580426259,,
jpmchase,southernco,0.7580607315,,
cocacola,emersonelectric,0.758065269,,
lockheedmartin,metlife,0.7581427793,,
alphabet,berkshirehathaway,0.7582118496,,
amgen,texasinstrument,0.7582331348,,
cisco,raytheon,0.7583151505,,
ibm,timewarner,0.758329197,,
amazon,facebook,0.758466066,,
ibm,cisco,0.7584679612,,
cocacola,timewarner,0.7584800264,,
gm,amex,0.7585846168,,
png,morganstanley,0.7586546073,,
mcdonalds,metlife,0.7586817261,,
allergan,chevron,0.7586817308,,
gm,cisco,0.7586974115,,
amazon,tesla,0.7587059969,,
priceline,boeing,0.758710382,,
intel,colgate-palmolive,0.7587277611,,
c.streamingmedia,c.virtualreality,0.7587902846,,
abbvie,boeing,0.7587971019,,
alphabet,colgate-palmolive,0.7588041112,,
mcdonalds,occidentalpetrol,0.7588145817,,
accenture,honeywell,0.7588534917,,
accenture,dupont,0.7588581356,,
allstate,altria,0.7589553448,,
dowchemical,c.bailout,0.7589582766,,
abbvie,raytheon,0.7589611001,,
dellemc,verizon,0.7589810091,,
homedepot,berkshirehathaway,0.7590246752,,
c.virtualreality,boeing,0.759028828,,
schlumberger,merckandco,0.7590408379,,
allstate,emersonelectric,0.7591089479,,
allstate,ups,0.7592166762,,
johnsonandjohnson,nike,0.7593155935,,
citigroup,c.internetofthings,0.7593359358,,
apple,walgreens,0.759388561,,
ibm,oracle,0.759420653,,
allstate,jpmchase,0.7594664382,,
apple,ups,0.7594981104,,
dowchemical,verizon,0.7594996736,,
schlumberger,medtronic,0.7595133043,,
apple,boeing,0.7595547802,,
goldmansachs,occidentalpetrol,0.7595802574,,
caterpillar,merckandco,0.7597096737,,
southernco,merckandco,0.7597126989,,
boeing,c.bailout,0.7597500941,,
honeywell,verizon,0.7597639469,,
netflix,verizon,0.7598047272,,
target,metlife,0.7598191009,,
chevron,c.bailout,0.7598378453,,
jpmchase,boeing,0.7599060149,,
jpmchase,cvs,0.75990652,,
cvs,microsoft,0.7599161417,,
capitalone,microsoft,0.7600127408,,
apple,exxonmobil,0.7600980581,,
lockheedmartin,danaher,0.7601254497,,
apple,dowchemical,0.7601346981,,
3m,c.selfdriving,0.7601408875,,
target,elilily,0.7601480335,,
medtronic,dowchemical,0.7601642313,,
honeywell,biogen,0.7601883345,,
biogen,microsoft,0.7602008336,,
cisco,verizon,0.7602116057,,
jpmchase,texasinstrument,0.7602427133,,
capitalone,ibm,0.7603295154,,
qualcomm,dupont,0.7603501587,,
berkshirehathaway,morganstanley,0.7603562566,,
celgene,dupont,0.7603665649,,
facebook,p.hulu,0.7604577035,,
timewarner,metlife,0.7604914734,,
abbott,intel,0.7605148846,,
